UF,RS
Cidade,AJURICABA
Nome Posto,PASSO FAXINAL
Latitude,-28.289444444444445
Longitude,-53.779444444444444
Codigo,2853010
Qtd. Anos,63
Ano,Maxima
1957,64.4
1958,109
1959,106
1960,80
1961,101.4
1962,66.4
1963,100.2
1964,150.2
1965,137.4
1966,75
1967,118.4
1968,64.2
1969,60.4
1970,89.4
1971,101.2
1972,91.2
1973,108.4
1974,100
1975,74.2
1976,103.2
1977,106.2
1978,80.2
1979,80.4
1980,150.6
1981,117.2
1982,108
1983,100.2
1984,91.2
1985,97
1986,83.2
1987,125.4
1988,136.4
1989,162.7
1990,75.4
1992,53.2
1993,92.2
1994,98.5
1995,65.9
1996,66.8
1997,121
1998,84
1999,76.3
2000,73.4
2001,69.5
2002,92.4
2003,149.1
2004,75.8
2005,124.5
2006,97.4
2007,103.9
2008,110.2
2009,65.6
2010,132.6
2011,164.2
2012,87.3
2013,94.2
2014,125.9
2015,99.5
2016,101.8
2017,116.8
2018,76.9
2019,124.7
2020,55.1
