UF,RS
Cidade,SAPUCAIA DO SUL
Nome Posto,SAPUCAIA DO SUL
Latitude,-29.82
Longitude,-51.16111111111111
Codigo,2951028
Qtd. Anos,56
Ano,Maxima
1964,69
1965,92.5
1966,72
1967,72
1968,57
1969,46
1970,106
1971,62
1972,93
1973,72
1974,57.5
1975,45.5
1976,72
1977,103
1978,63
1979,55
1980,86
1981,89.5
1982,146
1983,74.5
1984,79
1985,103
1986,72
1987,74
1988,72
1989,105
1990,92.5
1991,102.5
1992,97
1993,110
1994,93.4
1995,117.1
1996,70.5
1997,89
1998,65.3
1999,100.3
2000,111.6
2001,124
2002,78.9
2003,85.3
2004,55.3
2005,92.3
2006,71
2007,64.1
2008,90.5
2009,54.7
2010,45
2011,111
2012,87.5
2013,126.5
2014,89.3
2015,119.9
2016,69.1
2017,84.5
2018,58
2019,82
