UF,RS
Cidade,URUGUAIANA
Nome Posto,HARMONIA
Latitude,-30.06861111111111
Longitude,-56.17027777777778
Codigo,3056006
Qtd. Anos,42
Ano,Maxima
1978,146.2
1979,101
1980,154
1981,81.5
1982,125.6
1983,140
1984,96
1985,74
1986,116.8
1987,125.8
1988,75.2
1989,68.2
1990,92
1991,50.2
1992,49
1993,133
1994,97.3
1995,91.3
1996,122
1997,130
1998,127.1
1999,82.3
2000,80
2001,180
2002,102
2003,166.3
2004,103.4
2005,82.3
2006,107.7
2007,92.3
2008,105.2
2009,52.3
2010,83.1
2011,138.3
2012,68.2
2013,100.3
2014,84.6
2015,117
2016,97.7
2017,204
2018,95.8
2019,74.5
