UF,RS
Cidade,FARROUPILHA
Nome Posto,JANSEN
Latitude,-29.390833333333333
Longitude,-51.848888888888894
Codigo,2951017
Qtd. Anos,56
Ano,Maxima
1962,38
1963,65.6
1964,55.6
1965,62.6
1966,99.4
1967,86.7
1968,52.4
1969,73.5
1970,83.5
1971,165
1972,78.5
1973,78.5
1974,71.1
1975,71.3
1976,76.3
1977,58.2
1978,86.2
1979,78.4
1980,108.7
1981,61.8
1982,156.6
1983,72.5
1984,78.3
1985,60.2
1986,74.2
1987,90.5
1988,100.5
1989,72.1
1990,82.8
1991,85.6
1992,74.2
1993,65.4
1994,67.8
1995,69.2
1996,109.2
1997,78.4
1998,91.3
1999,75.2
2000,75.2
2001,98.6
2002,78.4
2003,145.8
2004,59.3
2005,67.8
2006,104.3
2007,81.8
2008,173
2009,81
2010,87.5
2011,106.8
2012,81.2
2016,111.5
2017,112
2018,94.3
2019,73
2020,41.3
