UF,RS
Cidade,BUTIA
Nome Posto,BUTIA
Latitude,-30.15888888888889
Longitude,-51.93111111111111
Codigo,3051031
Qtd. Anos,38
Ano,Maxima
1983,64.4
1984,146.2
1985,77.2
1986,59.3
1987,73.3
1988,40.1
1989,53.4
1990,89.7
1991,108.7
1992,76.5
1993,120.4
1994,65.4
1995,66.7
1996,68.6
1997,94.6
1998,76.9
1999,75.4
2000,65.1
2001,60.4
2002,109
2003,80
2004,98.4
2005,94.2
2006,110
2007,65
2008,96.3
2009,115.9
2010,120.5
2011,81.9
2012,116
2013,96.1
2014,85.4
2015,79.8
2016,156
2017,69.3
2018,77.2
2019,75.9
2020,65.4
