UF,RS
Cidade,SAO FRANCISCO DE ASSIS
Nome Posto,PONTE DO MIRACATU
Latitude,-29.459166666666665
Longitude,-55.29111111111111
Codigo,2955006
Qtd. Anos,52
Ano,Maxima
1969,48.2
1970,87.3
1971,103.2
1972,84.2
1973,153
1974,81.3
1975,70
1976,75
1977,108
1978,150
1979,115.6
1980,97.4
1981,64.4
1982,140.4
1983,138.4
1984,125.6
1985,100
1986,100.2
1987,120
1988,80
1989,115
1990,150
1991,89
1992,146
1993,143
1994,109.6
1995,80
1996,96.9
1997,136.6
1998,145.5
1999,115.9
2000,123
2001,80
2002,133.5
2003,126.6
2004,56.1
2005,133.8
2006,86.5
2007,90.1
2008,121
2009,119.3
2010,84.5
2011,164
2012,102
2013,150
2014,124
2015,148
2016,118
2017,117
2018,133
2019,130.5
2020,53
