UF,RS
Cidade,FREDERICO WESTPHALEN
Nome Posto,FREDERICO WESTPHALEN
Latitude,-27.360833333333336
Longitude,-53.3975
Codigo,2753002
Qtd. Anos,57
Ano,Maxima
1961,65
1962,82.4
1963,78.9
1964,58.1
1965,87.2
1966,75.3
1967,76.4
1968,102
1969,141
1970,95
1971,78
1972,122.2
1973,99.4
1974,139
1975,79.8
1976,71
1977,86
1978,85.4
1979,92
1980,121.6
1981,106
1982,89.2
1983,114
1984,88.4
1985,168.4
1986,84.2
1987,85
1988,81.1
1989,56.7
1990,109.1
1991,105
1992,85.6
1993,92.5
1994,113.6
1995,101.7
1996,78.1
1997,90.4
1998,94
1999,101.1
2000,73.9
2001,118.1
2002,68.3
2003,100
2004,75.9
2005,106.4
2006,87.9
2007,93
2008,81.9
2009,104.6
2010,84.9
2011,114.1
2012,63.5
2016,71.5
2017,116.6
2018,64.9
2019,94.6
2020,66.1
