UF,RS
Cidade,CAMPESTRE DA SERRA
Nome Posto,FAZENDA ROSEIRA
Latitude,-28.673333333333336
Longitude,-51.14277777777778
Codigo,2851010
Qtd. Anos,56
Ano,Maxima
1962,25
1963,95
1964,92
1965,112
1966,90
1967,49
1968,47
1969,88
1970,58.2
1971,83
1972,101
1973,82.3
1974,78.3
1975,74
1976,68.1
1977,97
1978,65.2
1979,79.3
1980,97.4
1981,58.3
1982,72.2
1983,105.2
1984,98
1985,49.2
1986,80.4
1987,96
1988,100.2
1989,110
1990,105.2
1991,106.1
1992,91
1993,67.2
1994,95.4
1995,55.5
1996,75.2
1997,82
1998,112
1999,52
2000,63
2001,68.8
2002,74.2
2003,99
2004,75
2005,92
2006,75.3
2007,146
2008,85
2009,63
2010,128
2011,51
2012,75
2016,101.5
2017,67.3
2018,96.2
2019,69.3
2020,34.5
