UF,RS
Cidade,SANTIAGO
Nome Posto,FLORIDA
Latitude,-29.251666666666665
Longitude,-54.598333333333336
Codigo,2954030
Qtd. Anos,38
Ano,Maxima
1983,199
1984,112
1985,100.6
1986,150
1987,150.2
1988,62.6
1989,114.2
1990,75
1991,98.4
1992,80.4
1993,100.2
1994,101.4
1995,90.4
1996,106.2
1997,112.4
1998,108
1999,104.2
2000,103.5
2001,98.2
2002,112.4
2003,105.4
2004,61.2
2005,98.5
2006,72.4
2007,135
2008,95.2
2009,82.4
2010,75
2011,66.7
2012,108.3
2013,94.6
2014,105.2
2015,125.4
2016,100.4
2017,96.2
2018,140.6
2019,109.5
2020,50.4
