UF,RS
Cidade,ROSARIO DO SUL
Nome Posto,GRANJA UMBU
Latitude,-30.514444444444443
Longitude,-54.77027777777778
Codigo,3054016
Qtd. Anos,45
Ano,Maxima
1976,55.9
1977,72.2
1978,84
1979,170.1
1980,139.4
1981,64.4
1982,102
1983,106
1984,77.2
1985,138.6
1986,88
1987,127
1988,59
1989,59.2
1990,109.3
1991,90
1992,148
1993,69.3
1994,65.1
1995,72
1996,115.2
1997,138.3
1998,111.7
1999,73.3
2000,93.7
2001,111.5
2002,162
2003,96.3
2004,67.8
2005,55.4
2006,66.5
2007,97.3
2008,77.4
2009,40.7
2010,55.8
2011,48
2012,108.1
2013,145.2
2014,102.9
2015,120.5
2016,63.9
2017,106.2
2018,86
2019,117.3
2020,91.1
