UF,RS
Cidade,SAO FRANCISCO DE PAULA
Nome Posto,LAJEADO GRANDE
Latitude,-29.094166666666666
Longitude,-50.6275
Codigo,2950019
Qtd. Anos,68
Ano,Maxima
1941,83.2
1942,106.5
1944,45
1945,76.2
1946,125.5
1947,90.6
1948,108.2
1949,85.6
1950,71.2
1951,52.4
1952,25
1956,77.7
1962,35.2
1963,105.6
1964,86.4
1965,114
1966,75
1967,83.2
1968,35.4
1969,75
1970,84
1971,67
1972,75.2
1973,74.8
1974,72.2
1975,64.1
1976,74.5
1977,81
1978,38
1979,80.4
1980,128.4
1981,48
1982,112
1983,95
1984,68
1985,73
1986,91
1987,90
1988,124
1989,94
1990,102.6
1991,76.9
1992,80.4
1993,72
1994,78.4
1995,43.9
1996,69
1997,76.4
1998,79.6
1999,93
2000,79.6
2001,93
2002,126.8
2003,129.4
2004,81
2005,84.8
2006,94
2007,110
2008,66.4
2009,110.6
2010,72
2011,106
2012,110
2016,76.5
2017,86.1
2018,103.9
2019,86.7
2020,31.6
