UF,RS
Cidade,LAGOA VERMELHA
Nome Posto,CLEMENTE ARGOLO
Latitude,-28.00583333333333
Longitude,-51.45444444444445
Codigo,2751017
Qtd. Anos,45
Ano,Maxima
1976,77.2
1977,77
1978,85.8
1979,98.3
1980,74
1981,60.3
1982,81
1983,88.1
1984,97.4
1985,122.2
1986,70.2
1987,118.3
1988,113.3
1989,95
1990,114
1991,101.3
1992,152
1993,147
1994,90
1995,68.4
1996,95
1997,102
1998,127.3
1999,111.4
2000,93.3
2001,147.7
2002,65.5
2003,76.2
2004,63
2005,141.2
2006,88
2007,83
2008,132.9
2009,104
2010,81.6
2011,98.2
2012,83.9
2013,94
2014,102.7
2015,117.1
2016,156.1
2017,90
2018,105
2019,90
2020,58
