UF,RS
Cidade,CAPAO DO CIPO
Nome Posto,ESQUINA DOS LIMA (STA. BARBARA)
Latitude,-29.048055555555557
Longitude,-54.57083333333334
Codigo,2954031
Qtd. Anos,37
Ano,Maxima
1983,121.9
1984,108
1985,106.8
1986,85
1987,143.6
1988,75
1989,93.4
1990,110
1991,103
1992,105
1993,128
1994,101.4
1995,101.2
1996,102
1997,113.4
1998,109.4
1999,75.2
2000,104
2001,110.4
2002,118.5
2003,111
2004,76
2005,91
2006,71.5
2007,92.2
2008,78.7
2009,81
2010,87.8
2011,76.5
2012,163.4
2013,85
2014,92.5
2015,79.4
2016,130.3
2017,83.7
2018,135.3
2019,143.7
