UF,RS
Cidade,JAGUARI
Nome Posto,JAGUARI
Latitude,-29.506944444444443
Longitude,-54.677499999999995
Codigo,2954007
Qtd. Anos,64
Ano,Maxima
1957,71.6
1958,121.3
1959,142.1
1960,144.2
1961,117.3
1962,106
1963,75
1964,68
1965,127.3
1966,123
1967,99
1968,79.2
1969,144.4
1970,111.3
1971,59
1972,91.6
1973,107.2
1974,133.8
1975,86
1976,107.1
1977,102.2
1978,78.4
1979,94.1
1980,84.4
1981,85.8
1982,125
1983,133
1984,189
1985,183
1986,86
1987,182
1988,66.8
1989,94.5
1990,96.2
1991,133.5
1992,125
1993,72.8
1994,124.4
1995,94.8
1996,114.5
1997,124.9
1998,239.2
1999,125.8
2000,99.9
2001,142.1
2002,158.3
2003,113.1
2004,67.7
2005,73.2
2006,76.5
2007,84.8
2008,91.2
2009,133.2
2010,71
2011,71.9
2012,93
2013,91
2014,105.9
2015,171
2016,110.5
2017,106.6
2018,130.7
2019,115.5
2020,54.8
