UF,RS
Cidade,CACHOEIRA DO SUL
Nome Posto,IRAPUAZINHO
Latitude,-30.487222222222222
Longitude,-53.11833333333333
Codigo,3053018
Qtd. Anos,38
Ano,Maxima
1983,134.2
1984,137.6
1985,105.4
1986,135.6
1987,138.4
1988,50.8
1989,72.2
1990,113
1991,100
1992,192.7
1993,160
1994,160
1995,73
1996,100
1997,152.3
1998,102
1999,88.5
2000,72.3
2001,100
2002,142
2003,140
2004,59.3
2005,83.3
2006,82.9
2007,64.5
2008,160.6
2009,83.9
2010,84.7
2011,88.7
2012,126.7
2013,81.7
2014,113.7
2015,155.5
2016,146.3
2017,97
2018,116.4
2019,99.5
2020,75.5
