UF,RS
Cidade,LIBERATO SALZANO
Nome Posto,LIBERATO SALZANO
Latitude,-27.599166666666665
Longitude,-53.07138888888889
Codigo,2753014
Qtd. Anos,44
Ano,Maxima
1976,85.8
1977,115.6
1978,88.4
1979,119
1980,87.4
1981,60.7
1982,87
1983,102.8
1984,96
1985,127.4
1986,102.6
1987,90.3
1988,125
1989,94.6
1990,113.2
1991,98
1992,225
1993,86.4
1994,120.6
1995,123.6
1996,83
1997,148
1998,111.5
1999,95.2
2000,85.5
2001,103.6
2002,110
2003,71.4
2004,72
2005,100
2006,100.4
2007,95.6
2008,70.2
2009,115
2010,122
2011,93.5
2012,98.3
2013,75
2014,121
2015,156.2
2016,74.3
2017,93.2
2018,65
2019,175
