UF,RS
Cidade,EREBANGO
Nome Posto,EREBANGO
Latitude,-27.854166666666668
Longitude,-52.30472222222222
Codigo,2752006
Qtd. Anos,78
Ano,Maxima
1943,94.3
1944,69
1945,70.1
1946,112
1947,105
1948,75
1949,73
1950,40
1951,16.5
1952,121
1953,225
1954,175
1955,175
1956,50
1957,150
1958,100
1959,150
1960,100
1961,200
1962,50
1963,80
1964,75
1965,75
1966,75
1967,75
1968,53.4
1969,95
1970,103
1971,70.6
1972,75.6
1973,78
1974,97
1975,92
1976,95.2
1977,72
1978,55.2
1979,63
1980,63.6
1981,113.8
1982,158.6
1983,100.8
1984,122.8
1985,159.7
1986,149.8
1987,146
1988,74.6
1989,106.8
1990,105
1991,109
1992,152.4
1993,54.2
1994,100
1995,91
1996,96
1997,175
1998,105
1999,106.3
2000,110.8
2001,88.4
2002,75.6
2003,91.6
2004,64.5
2005,133
2006,87.3
2007,85.7
2008,65.4
2009,73.4
2010,114.3
2011,79.5
2012,127.7
2013,86.1
2014,107.8
2015,155.5
2016,70
2017,105.1
2018,50.6
2019,77.3
2020,66.4
