UF,RS
Cidade,VILA FLORES
Nome Posto,PASSO DO PRATA
Latitude,-28.8775
Longitude,-51.44833333333333
Codigo,2851021
Qtd. Anos,64
Ano,Maxima
1957,22
1958,67
1959,117.8
1960,82.4
1961,73.4
1962,40
1963,65.4
1964,68
1965,80.4
1966,78
1967,95.2
1968,60.6
1969,73
1970,59
1971,75
1972,80.4
1973,88.2
1974,87.2
1975,71
1976,71.2
1977,85.4
1978,68.2
1979,75.4
1980,68.3
1981,72
1982,104.2
1983,95.1
1984,56.3
1985,57
1986,55.4
1987,112.1
1988,125.2
1989,112.1
1990,70.2
1991,60.2
1992,115.2
1993,62.1
1994,85.3
1995,79.1
1996,90.2
1997,87.2
1998,125.1
1999,63.1
2000,79.6
2001,150.3
2002,75.6
2003,200.7
2004,68.5
2005,77
2006,90
2007,114.9
2008,99.5
2009,48.7
2010,59.1
2011,47.4
2012,56
2013,47.7
2014,48.7
2015,60.6
2016,47
2017,46.8
2018,64
2019,112
2020,40
