UF,RS
Cidade,BENTO GONCALVES
Nome Posto,BENTO GONCALVES
Latitude,-29.15
Longitude,-51.516666666666666
Codigo,2951003
Qtd. Anos,49
Ano,Maxima
1935,57.7
1936,81.6
1937,75.8
1938,62.5
1939,85.5
1940,102.8
1941,105.1
1942,144.3
1943,84.5
1944,66.5
1945,75.7
1946,102.5
1947,90
1948,71.5
1949,67.5
1950,108
1951,85.5
1952,48.5
1953,98
1954,105
1955,93.5
1956,120.1
1957,87.6
1958,68.5
1959,117
1960,56
1961,73
1962,38.3
1963,73.5
1964,48
1965,75.7
1966,79.3
1967,92.5
1968,47.6
1969,44
1970,76.8
1975,81.7
1976,61
1977,90
1978,60.5
1981,57.8
1983,64.2
1984,82.6
1989,31.8
1994,78
1995,58.4
1996,72.6
1997,66.2
1998,51.8
