UF,RS
Cidade,URUGUAIANA
Nome Posto,URUGUAIANA
Latitude,-29.75
Longitude,-57.083333333333336
Codigo,2957001
Qtd. Anos,82
Ano,Maxima
1912,71.5
1913,67
1914,74
1915,70.7
1916,78
1917,68.2
1918,88.4
1919,72.3
1920,68.2
1921,61.4
1922,109.5
1923,87.3
1924,69.2
1925,75.2
1926,80
1927,50
1928,100.4
1929,84
1930,146.4
1931,84.4
1932,152.5
1933,75.6
1934,165
1935,83
1936,130
1937,70
1938,85
1939,147
1940,154
1941,117.7
1942,85.3
1943,101.1
1944,101
1945,104.8
1946,132.3
1947,157.9
1948,115.3
1949,68.8
1950,60.5
1951,85.3
1952,88.2
1953,125.9
1954,103
1955,109
1956,121.3
1957,93.3
1958,163.5
1959,199.5
1960,106.5
1961,102.2
1962,51.3
1963,118.7
1964,58.1
1965,105.5
1966,124.4
1967,162.3
1968,97.5
1969,123.2
1970,86.2
1971,144.1
1972,152.9
1973,170.5
1974,79.5
1975,127.9
1976,95.8
1977,98.8
1978,96.1
1980,40.6
1981,88.5
1982,140.6
1983,154.3
1988,38.5
1989,49.7
1990,75.4
1991,35
1992,147.7
1993,117
1994,116.6
1995,100.6
1996,115
1997,164
1998,89
