UF,RS
Cidade,DOM PEDRITO
Nome Posto,TORQUATO SEVERO
Latitude,-31.028333333333332
Longitude,-54.178888888888885
Codigo,3154003
Qtd. Anos,45
Ano,Maxima
1976,87.3
1977,171
1978,80
1979,82
1980,132
1981,67.4
1982,168.3
1983,158
1984,122
1985,96
1986,110
1987,107
1988,61.2
1989,67.1
1990,154
1991,147.1
1992,159.2
1993,147.2
1994,110.3
1995,146.2
1996,93.5
1997,128.5
1998,83.2
1999,57.2
2000,104.5
2001,185.3
2002,123.4
2003,81.5
2004,124
2005,108
2006,60.5
2007,63.9
2008,50
2009,147.2
2010,50.6
2011,63.1
2012,88.1
2013,115.2
2014,117.5
2015,77
2016,98.4
2017,123.8
2018,91.1
2019,74.5
2020,45.5
