UF,RS
Cidade,BOM JESUS
Nome Posto,INVERNADA VELHA
Latitude,-28.449444444444445
Longitude,-50.296388888888885
Codigo,2850006
Qtd. Anos,51
Ano,Maxima
1964,63.9
1965,180.2
1966,73.7
1967,79
1968,69
1969,73
1970,60.4
1971,64
1972,96
1973,66.2
1974,81.5
1975,56
1976,80.8
1977,91.8
1978,96
1979,84
1980,66.2
1981,92.8
1982,69.2
1983,94
1984,67
1985,75
1992,115.8
1993,57
1994,51.6
1995,47
1996,70.1
1997,109
1998,68
1999,81.4
2000,121.2
2001,158.9
2002,68.1
2003,86.3
2004,74.3
2005,92.2
2006,54.5
2007,72.8
2008,75.2
2009,89.8
2010,84.4
2011,97.8
2012,68.8
2013,85.3
2014,85.3
2015,79.1
2016,93.2
2017,59.1
2018,133.1
2019,75.5
2020,53.1
