UF,RS
Cidade,ROSARIO DO SUL
Nome Posto,ROSARIO DO SUL
Latitude,-30.246944444444445
Longitude,-54.9175
Codigo,3054007
Qtd. Anos,75
Ano,Maxima
1943,116.2
1944,119
1945,62
1946,103
1947,78.3
1948,94
1949,126.6
1950,91.8
1951,91.9
1952,178.5
1953,104
1954,181
1955,192.5
1956,93
1957,81
1958,132
1959,119
1960,53
1964,105.3
1965,66
1966,138
1967,91
1968,125
1969,102
1970,104
1971,68
1972,105
1973,170
1974,94
1975,98
1976,70.6
1977,78
1978,105
1979,171
1980,173
1981,67
1982,145
1983,172
1984,92.8
1985,110
1986,198.4
1987,195
1988,90.6
1989,82.1
1990,230
1991,190.1
1992,136.2
1993,102.3
1994,158.7
1995,70.9
1996,135.5
1997,125.9
1998,79.3
1999,61.5
2000,62.3
2001,109.2
2002,154.8
2003,93.1
2004,84.7
2005,77.4
2006,82.5
2007,87.6
2008,105.2
2009,108.8
2010,85.3
2011,70.5
2012,96
2013,186.9
2014,75.9
2015,141.1
2016,81.3
2017,84.3
2018,126.8
2019,169.2
2020,29.5
