UF,RS
Cidade,CATUIPE
Nome Posto,BOA VISTA
Latitude,-28.111111111111114
Longitude,-53.99305555555556
Codigo,2854001
Qtd. Anos,52
Ano,Maxima
1969,43
1970,88
1971,95
1972,157.3
1973,137
1974,80
1975,77
1976,102
1977,144
1978,74
1979,96
1980,130
1981,89.1
1982,110
1983,134
1984,102
1985,107
1986,105
1987,110
1988,101
1989,104
1990,101.6
1991,160.2
1992,161
1993,109
1994,129
1995,102
1996,116.2
1997,161
1998,96.4
1999,68.3
2000,92.1
2001,82
2002,106
2003,85
2004,58
2005,115.5
2006,79.5
2007,142.6
2008,100.4
2009,102.3
2010,150.1
2011,115.2
2012,88.3
2013,86.6
2014,181.2
2015,133.2
2016,91.7
2017,168.3
2018,135
2019,84.3
2020,43.2
