UF,RS
Cidade,GARRUCHOS
Nome Posto,GARRUCHOS
Latitude,-28.18777777777778
Longitude,-55.636944444444445
Codigo,2855001
Qtd. Anos,71
Ano,Maxima
1949,51
1950,96
1951,89
1952,51.8
1953,91
1954,89.1
1955,80
1956,108
1957,48
1958,50
1959,72
1960,58
1962,111.3
1963,123.2
1964,104.1
1965,97.2
1966,82.4
1967,120.1
1968,121
1969,100.2
1970,82.4
1971,115.1
1972,221.1
1973,160.2
1974,218
1975,220.1
1976,86.1
1977,88.1
1978,204.3
1979,124.2
1980,128.1
1981,128.2
1982,278.1
1983,164.3
1984,159.4
1985,180.2
1986,120.2
1987,115.1
1988,87.5
1989,132.1
1990,133.4
1991,97.8
1992,107.7
1993,95.1
1994,151.1
1995,72.2
1996,105.3
1997,112.6
1998,125.7
1999,76.3
2000,85.5
2001,86.3
2002,95.5
2003,78.8
2004,65.3
2005,95.9
2006,86.6
2007,83.9
2008,93.9
2009,95.5
2010,97.4
2011,245.4
2012,110
2013,104
2014,135.7
2015,155
2016,93.3
2017,188.4
2018,95.7
2019,120
2020,68.6
