UF,RS
Cidade,DAVID CANABARRO
Nome Posto,TRINTA E CINCO
Latitude,-28.391111111111112
Longitude,-51.848888888888894
Codigo,2851028
Qtd. Anos,56
Ano,Maxima
1962,41.9
1963,75
1964,72
1965,143.4
1966,140
1967,95.2
1968,55.2
1969,100.4
1970,105.2
1971,85.1
1972,96.4
1973,85.2
1974,100.1
1975,72.2
1976,62.2
1977,106.4
1978,68.8
1979,69.2
1980,69.6
1981,100.3
1982,56.8
1983,106.6
1984,88.4
1985,70.2
1986,55.4
1987,87.1
1988,65.8
1989,158.2
1990,182
1991,97.2
1992,126.2
1993,70.5
1994,93.4
1995,64.2
1996,56
1997,79.6
1998,89
1999,89.2
2000,90
2001,119
2002,105.2
2003,218
2004,54
2005,102
2006,62.2
2007,128.6
2008,103.8
2009,87.2
2010,122.2
2011,112.4
2012,97.6
2016,130
2017,87
2018,125
2019,67
2020,31
