UF,RS
Cidade,ARROIO GRANDE
Nome Posto,ARROIO GRANDE
Latitude,-32.23722222222222
Longitude,-53.08972222222222
Codigo,3253001
Qtd. Anos,54
Ano,Maxima
1966,37
1967,51.5
1968,87
1969,77
1970,100.8
1971,78.4
1972,67
1973,62
1974,120
1975,87.4
1976,105
1977,76
1978,94
1979,82.2
1980,84
1981,74.4
1982,105.4
1983,108
1984,80.2
1985,70.1
1986,98.5
1987,77.4
1988,64.4
1989,48
1990,78.4
1991,142.2
1992,145.4
1993,68.2
1994,122.4
1995,81.5
1996,82
1997,109
1998,102
1999,68.8
2000,84
2001,73
2002,103
2003,83.2
2004,73
2005,85.3
2006,114.7
2007,107
2008,96
2009,112
2010,42.6
2011,82.6
2012,57.7
2013,94.4
2014,82
2015,85.5
2016,66.6
2017,87.9
2018,87.8
2019,87.5
