UF,RS
Cidade,ESMERALDA
Nome Posto,ESMERALDA
Latitude,-28.059166666666666
Longitude,-51.18805555555555
Codigo,2851043
Qtd. Anos,43
Ano,Maxima
1978,72.6
1979,98.3
1980,65.8
1981,97.2
1982,100
1983,105.2
1984,94.1
1985,115.7
1986,70.5
1987,120.4
1988,98.4
1989,87.6
1990,126.4
1991,79.5
1992,90.4
1993,140.8
1994,72.4
1995,130.8
1996,55.6
1997,93.8
1998,133.8
1999,97.6
2000,68.8
2001,152.2
2002,59.1
2003,66.6
2004,86.6
2005,110.8
2006,75.6
2007,83.8
2008,91.6
2009,69.3
2010,86.2
2011,102.9
2012,85.5
2013,89.4
2014,101.8
2015,80.5
2016,128.5
2017,118.1
2018,65.4
2019,95.8
2020,35.4
