UF,RS
Cidade,SANTA VITORIA DO PALMAR
Nome Posto,SANTA VITORIA DO PALMAR
Latitude,-33.5325
Longitude,-53.349444444444444
Codigo,3353007
Qtd. Anos,54
Ano,Maxima
1934,57
1935,135.4
1936,94
1937,50.7
1938,78.3
1939,113.1
1940,110.5
1941,88.5
1942,82.4
1943,271.8
1944,49
1945,101.2
1946,136.4
1947,81
1948,127
1949,61.7
1950,63.3
1951,85.1
1952,149
1953,74.4
1954,90.2
1955,112
1956,64.9
1957,75.5
1958,72.8
1959,73.2
1960,130.4
1961,67.8
1962,52.7
1963,69.7
1964,80.2
1965,101.2
1966,77.4
1967,114.7
1968,67.8
1969,66.5
1970,101.4
1975,76.7
1976,81.3
1977,108.9
1978,70.3
1981,62.8
1982,56
1983,61.7
1984,103.4
1985,85
1989,28.5
1992,67.9
1993,80.9
1994,57.2
1995,66.9
1996,54.2
1997,68.1
1998,71.9
