UF,RS
Cidade,SARANDI
Nome Posto,LINHA CESCON
Latitude,-27.811666666666667
Longitude,-53.02777777777778
Codigo,2753004
Qtd. Anos,62
Ano,Maxima
1959,60.8
1960,73.4
1961,81.3
1962,76.8
1963,100.2
1964,68.4
1965,107.4
1966,87
1967,108
1968,76
1969,90.4
1970,120
1971,62
1972,122
1973,119
1974,144
1975,83.2
1976,81
1977,156.2
1978,72
1979,129.2
1980,86.1
1981,70.1
1982,134
1983,95.2
1984,144
1985,143
1986,106
1987,98.1
1988,115.1
1989,132.8
1990,176
1991,105.3
1992,63.7
1993,92.4
1994,103.8
1995,99.2
1996,88.2
1997,117
1998,76
1999,138
2000,76
2001,75
2002,85.2
2003,96.4
2004,94.8
2005,94.1
2006,118.8
2007,85
2008,74.8
2009,79.6
2010,122.8
2011,108.6
2012,98
2013,76
2014,101.8
2015,102.4
2016,135
2017,138
2018,90.2
2019,74.2
2020,56
