UF,RS
Cidade,ITAQUI
Nome Posto,ITAQUI
Latitude,-29.1275
Longitude,-56.5625
Codigo,2956005
Qtd. Anos,51
Ano,Maxima
1970,133.4
1971,66
1972,79.4
1973,96.7
1974,137.4
1975,113
1976,79.6
1977,114.5
1978,116.4
1979,144.4
1980,128.6
1981,61.6
1982,132.2
1983,193.8
1984,186.4
1985,108
1986,214
1987,216
1988,109.4
1989,128.8
1990,84
1991,95
1992,142
1993,113.4
1994,95.4
1995,78.7
1996,91.9
1997,154.4
1998,123.9
1999,95.9
2000,138
2001,106
2002,147
2003,99.1
2004,72.7
2005,115.2
2006,95.6
2007,100.1
2008,80
2009,160
2010,110
2011,107.5
2012,115
2013,113.3
2014,120.8
2015,89
2016,87
2017,146.5
2018,143.5
2019,133
2020,40
