UF,RS
Cidade,TUPANCIRETA
Nome Posto,TUPANCIRETA
Latitude,-29.085555555555555
Longitude,-53.81916666666667
Codigo,2953030
Qtd. Anos,45
Ano,Maxima
1976,81.4
1977,102.4
1978,99.2
1979,92.2
1980,116.2
1981,82.4
1982,100.4
1983,92.4
1984,75.2
1985,96.4
1986,114.4
1987,100.6
1988,125.2
1989,88.6
1990,89.4
1991,100.6
1992,70.2
1993,100.8
1994,80.4
1995,100.5
1996,98.8
1997,132.3
1998,93.3
1999,82.2
2000,84.2
2001,104.2
2002,82.2
2003,143.2
2004,117.6
2005,137
2006,90
2007,76.3
2008,98
2009,75.2
2010,90
2011,97
2012,110
2013,92
2014,97.2
2015,224.3
2016,98
2017,115
2018,97.3
2019,115
2020,53.3
