UF,RS
Cidade,TRES PASSOS
Nome Posto,TRES PASSOS
Latitude,-27.45138888888889
Longitude,-53.925
Codigo,2753009
Qtd. Anos,56
Ano,Maxima
1961,106.4
1962,80.4
1963,105
1964,74
1965,122
1966,79.4
1967,80.2
1968,112
1969,170
1970,73.2
1971,96.5
1972,94.7
1973,83.5
1974,112.5
1975,104.3
1976,81.3
1977,77.2
1978,62.2
1979,111.2
1980,114.2
1981,65.3
1982,90.9
1983,120.2
1984,113.2
1985,140.3
1986,110.2
1987,107.2
1988,75.2
1989,98.2
1990,118.4
1991,72.2
1992,96.8
1993,65.2
1994,104.6
1995,68.2
1996,95.3
1997,136.2
1998,111.2
1999,79.6
2000,125.2
2001,84.2
2002,98.2
2003,100.8
2004,67.4
2005,105.6
2006,87.2
2007,100.5
2008,105.2
2009,133.2
2010,160.8
2011,127.2
2012,95.2
2016,81.9
2017,115
2018,107
2019,109.1
