UF,RS
Cidade,ARROIO DO TIGRE
Nome Posto,COLONINHA
Latitude,-29.194166666666668
Longitude,-52.952222222222225
Codigo,2953007
Qtd. Anos,44
Ano,Maxima
1969,82.4
1970,111.4
1971,90
1972,86.2
1973,156.2
1974,129
1975,98
1976,110
1977,103
1978,70
1979,70
1980,127
1981,65.8
1982,170
1983,74.2
1984,162.4
1985,74.2
1986,110
1987,90.2
1988,84
1989,90
1990,132
1991,116
1992,83
1993,92
1994,75
1995,73
1996,80.3
1997,109
1998,117.6
1999,96
2000,84
2001,105
2002,83
2003,119
2004,79
2005,83
2006,67
2007,93
2008,89
2009,75
2010,275
2011,78
2012,100
