UF,RS
Cidade,SAO PEDRO DO SUL
Nome Posto,PONTE TOROPI II
Latitude,-29.653333333333332
Longitude,-54.43138888888889
Codigo,2954032
Qtd. Anos,37
Ano,Maxima
1984,200.8
1985,121.2
1986,120.6
1987,156.4
1988,70.3
1989,62.1
1990,80.3
1991,89.5
1992,105.1
1993,83.4
1994,93.6
1995,84.7
1996,112.6
1997,123
1998,184.6
1999,92.6
2000,87.2
2001,102.4
2002,125.4
2003,100.8
2004,54
2005,72.4
2006,90.5
2007,100.4
2008,80.7
2009,105
2010,87.7
2011,142.2
2012,120.2
2013,181
2014,150
2015,125
2016,110
2017,108.1
2018,150
2019,130.2
2020,70
