UF,RS
Cidade,CARAZINHO
Nome Posto,CARAZINHO
Latitude,-28.293333333333337
Longitude,-52.72416666666667
Codigo,2852006
Qtd. Anos,73
Ano,Maxima
1941,174.9
1942,82.4
1943,92.4
1944,99
1945,59.4
1946,105.5
1947,79.6
1948,82.9
1949,112.2
1950,166.6
1957,69
1958,100.6
1959,97.6
1960,74.6
1961,81
1963,83.8
1964,8
1965,118.2
1966,104.2
1967,118.8
1968,70.8
1969,96
1970,121.4
1971,85.4
1972,90.4
1973,70
1974,95.8
1975,101
1976,93.4
1977,81
1978,82.2
1979,95.8
1980,81.2
1981,99
1982,150
1983,103.4
1984,229.4
1985,76
1986,114.2
1987,147
1988,93.5
1989,120.3
1990,134.9
1991,93
1992,143.5
1993,75
1994,74
1995,68.3
1996,82.8
1997,129.5
1998,138.5
1999,56.1
2000,84.8
2001,145.6
2002,87.3
2003,104.7
2004,69
2005,172.3
2006,71
2007,105.6
2008,61
2009,61.2
2010,130.9
2011,137.3
2012,95
2013,63.3
2014,116.7
2015,107
2016,152.1
2017,119.6
2018,106.4
2019,80.5
2020,53.5
