UF,RS
Cidade,PAIM FILHO
Nome Posto,PAIM FILHO
Latitude,-27.7125
Longitude,-51.73777777777778
Codigo,2751006
Qtd. Anos,64
Ano,Maxima
1957,42.4
1958,92.2
1959,57.6
1960,106.2
1961,75.4
1962,65.4
1963,87.4
1964,76.8
1965,196.4
1966,74.2
1967,55.4
1968,68.4
1969,112.5
1970,146.3
1971,117.4
1972,88.2
1973,68.6
1974,84
1975,70.4
1976,115
1977,90.2
1978,56.9
1979,80.2
1980,73.6
1981,74.2
1982,82
1983,93.2
1984,108.2
1985,116.5
1986,76.4
1987,118.2
1988,80
1989,67
1990,108
1991,80.2
1992,126
1993,104.5
1994,79.2
1995,119
1996,72
1997,85
1998,116
1999,103.5
2000,57.2
2001,117
2002,61
2003,54.5
2004,79.2
2005,97
2006,78.9
2007,103.7
2008,75
2009,72.9
2010,73.2
2011,81.2
2012,106.2
2013,82.1
2014,110
2015,80.5
2016,139.6
2017,144.6
2018,64.6
2019,81.9
2020,42
