UF,RS
Cidade,PIRATINI
Nome Posto,PORTO TARUMA
Latitude,-30.934166666666666
Longitude,-52.94277777777778
Codigo,3052010
Qtd. Anos,63
Ano,Maxima
1955,33.1
1956,75.3
1957,112.1
1958,72.3
1959,72.3
1960,91.3
1961,80.2
1962,74.7
1963,83.4
1964,52.5
1965,71.1
1966,93.3
1967,110.7
1968,69.1
1969,76.1
1970,100.7
1971,70.5
1972,144.4
1973,103.3
1974,78.8
1975,109.9
1976,94
1977,108.2
1978,84.7
1979,75.7
1980,97.4
1981,63.9
1982,89.8
1983,113
1984,72.9
1985,71.9
1986,106.9
1987,125.9
1988,53.2
1989,130.2
1990,135.8
1991,96.4
1992,155.7
1993,103.4
1994,97.1
1995,62.1
1996,135.2
1997,78.2
1998,83.9
1999,88.2
2000,82.9
2001,87.5
2002,173.5
2003,96.2
2004,88.1
2005,87.2
2006,78.2
2007,84.8
2008,66.5
2009,114.5
2010,70.1
2011,61.8
2012,53.3
2016,60.5
2017,123.1
2018,86.4
2019,55.8
2020,72
