UF,RS
Cidade,PIRATINI
Nome Posto,PASSO DA CAPELA
Latitude,-31.134166666666665
Longitude,-53.053888888888885
Codigo,3153006
Qtd. Anos,44
Ano,Maxima
1977,130.9
1978,100
1979,60
1980,142.3
1981,80
1982,75
1983,106
1984,97
1985,79
1986,95
1987,85
1988,57
1989,102
1990,90
1991,100
1992,145
1993,105
1994,66.2
1995,93.2
1996,78.6
1997,95.4
1998,80
1999,68.6
2000,132.5
2001,124
2002,140.7
2003,76.2
2004,103
2005,77.6
2006,58.9
2007,76.4
2008,60.4
2009,73.4
2010,58.5
2011,66.4
2012,113.2
2013,135
2014,70
2015,72.7
2016,144.6
2017,140
2018,73.5
2019,70
2020,30.6
