UF,RS
Cidade,QUINZE DE NOVEMBRO
Nome Posto,SANTA CLARA DO INGAI
Latitude,-28.728888888888886
Longitude,-53.18527777777778
Codigo,2853014
Qtd. Anos,77
Ano,Maxima
1944,57.1
1945,104
1946,85.6
1947,117.5
1948,74
1949,56.2
1950,110
1951,99.1
1952,72.5
1953,109
1954,102
1955,108
1956,86
1957,126
1958,81.7
1959,95.5
1960,120
1961,101
1962,52
1963,81
1964,75
1965,81
1966,75.5
1967,81
1968,64
1969,83
1970,115
1971,103.2
1972,72.6
1973,117.6
1974,156
1975,109.6
1976,89.2
1977,102.2
1978,58
1979,80
1980,100
1981,68
1982,130
1983,120
1984,142.6
1985,109
1986,83
1987,136.4
1988,102.4
1989,200
1990,71.6
1991,140
1992,113.5
1993,130.2
1994,94.2
1995,60.7
1996,80
1997,130
1998,165
1999,61
2000,55
2001,110.3
2002,92.1
2003,75.1
2004,91.5
2005,85.4
2006,80
2007,65.1
2008,100.3
2009,93.4
2010,84
2011,107
2012,112.3
2013,90.5
2014,107.5
2015,140
2016,105
2017,185
2018,105.4
2019,62.1
2020,68.7
