UF,RS
Cidade,CACAPAVA DO SUL
Nome Posto,CACAPAVA DO SUL
Latitude,-30.519444444444442
Longitude,-53.49166666666667
Codigo,3053022
Qtd. Anos,35
Ano,Maxima
1986,118.5
1987,98.6
1988,62.6
1989,88
1990,103
1991,74
1992,142
1993,102
1994,68.2
1995,83.4
1996,68.6
1997,107
1998,134.8
1999,98
2000,128.7
2001,97.7
2002,94.5
2003,146.1
2004,70.2
2005,105.2
2006,79.4
2007,78.2
2008,72.6
2009,129.1
2010,79.2
2011,89
2012,146.8
2013,105.2
2014,114.3
2015,113.6
2016,129.7
2017,90.3
2018,87.5
2019,79.1
2020,63
