UF,RS
Cidade,MANOEL VIANA
Nome Posto,MANOEL VIANA
Latitude,-29.593888888888888
Longitude,-55.48583333333333
Codigo,2955008
Qtd. Anos,45
Ano,Maxima
1976,76.2
1977,116
1978,128.8
1979,122
1980,97
1981,59.2
1982,131.4
1983,128
1984,168.8
1985,94
1986,120
1987,108.2
1988,48
1989,60.5
1990,131
1991,74.6
1992,148.8
1993,96
1994,60.4
1995,119.5
1996,104
1997,114.5
1998,144.6
1999,81.2
2000,77.2
2001,79.4
2002,85.1
2003,163.2
2004,86.5
2005,59.3
2006,83.7
2007,63.2
2008,114.3
2009,42.3
2010,143.9
2011,111.4
2012,103.6
2013,134.2
2014,141
2015,137.5
2016,75.8
2017,84.5
2018,126.9
2019,92.6
2020,42.8
