UF,RS
Cidade,BAGE
Nome Posto,PARAISO
Latitude,-31.226666666666667
Longitude,-53.90138888888889
Codigo,3153003
Qtd. Anos,62
Ano,Maxima
1956,75.6
1957,57.6
1958,80.8
1959,175.2
1960,97.4
1961,78.4
1962,83.4
1963,149.2
1964,94
1965,77.3
1966,94
1967,90.1
1968,116
1969,86.4
1970,88
1971,72
1972,98.7
1973,91.3
1974,75.2
1975,123.2
1976,70.2
1977,70.1
1978,113.8
1979,91.4
1980,145
1981,68.2
1982,97
1983,164.1
1984,75
1985,80.2
1986,115.4
1987,117
1988,54
1989,55
1990,86
1991,137
1992,130
1993,100
1994,70
1995,77.8
1996,57
1997,125
1998,196.3
1999,60
2000,99.3
2001,156.2
2002,119.6
2003,113.2
2004,117
2005,73.8
2006,94
2007,59.6
2008,82.8
2009,143.4
2010,63
2011,61.1
2012,170.3
2016,93.4
2017,147.3
2018,97.8
2019,148
2020,12.5
