UF,RS
Cidade,LAVRAS DO SUL
Nome Posto,LAVRAS DO SUL
Latitude,-30.8175
Longitude,-53.90138888888889
Codigo,3053007
Qtd. Anos,74
Ano,Maxima
1944,73.8
1945,55
1946,91.2
1947,49.4
1948,131.2
1949,56
1950,47.2
1951,84.2
1952,105.3
1953,85.4
1954,123.2
1955,124.2
1956,196.4
1957,160.3
1958,120.4
1959,221.1
1960,152.2
1961,96.1
1962,95.3
1963,105.3
1964,89.2
1965,95.4
1966,160.3
1967,122.1
1968,136.2
1969,86.4
1970,106.4
1971,82.1
1972,123.4
1973,101.1
1974,86.2
1975,106.2
1976,69.1
1977,136.3
1978,127.2
1979,78.1
1980,98.1
1981,67.3
1982,130.4
1983,153.4
1984,97.1
1985,88.1
1986,133.2
1987,100.2
1988,62.3
1989,106.4
1990,173.4
1991,152.2
1992,174.4
1993,126.2
1994,66.4
1995,104.4
1996,116.2
1997,109.4
1998,133.4
1999,79.4
2000,108.3
2001,133.1
2002,96.1
2003,114
2004,139.1
2005,80
2006,91.4
2007,76.1
2008,86.1
2009,142.3
2010,55.1
2011,77.2
2012,79.3
2016,81
2017,117.9
2018,120.2
2019,160.7
2020,45.2
