UF,RS
Cidade,ALEGRETE
Nome Posto,FAZENDA TRES CAPOES
Latitude,-29.635833333333334
Longitude,-56.094722222222224
Codigo,2956009
Qtd. Anos,35
Ano,Maxima
1986,106
1987,106
1988,72.8
1989,106.3
1990,115.5
1991,133.3
1992,161.2
1993,110.3
1994,67.6
1995,85
1996,109.3
1997,153
1998,199.5
1999,84.3
2000,106.6
2001,130.3
2002,105.2
2003,221.7
2004,103.6
2005,106.8
2006,90.3
2007,95
2008,118.5
2009,128.3
2010,90
2011,133.8
2012,112.7
2013,96.9
2014,149.5
2015,106.1
2016,150
2017,150
2018,117.4
2019,155.5
2020,32
