UF,RS
Cidade,SANTO AUGUSTO
Nome Posto,SANTO AUGUSTO
Latitude,-27.851666666666667
Longitude,-53.77638888888889
Codigo,2753007
Qtd. Anos,70
Ano,Maxima
1948,98
1949,100.6
1950,111.4
1951,85.6
1952,60.4
1953,92
1954,122.6
1955,102.6
1956,89.5
1957,82
1958,81.6
1959,95.6
1960,99.4
1961,77.6
1962,98
1963,91.2
1964,89
1965,88.8
1966,76.2
1967,74
1968,102.3
1969,103.2
1970,106.1
1971,106
1972,102.8
1973,130.3
1974,124.5
1975,135.3
1976,87.4
1977,138.7
1978,74.6
1979,119
1980,134.3
1981,89
1982,128
1983,90.7
1984,171
1985,99
1986,99
1987,117
1988,100.4
1989,108.2
1990,133.2
1991,130
1992,117.2
1993,80.4
1994,93.6
1995,76
1996,98.3
1997,157
1998,136
1999,79
2000,111.2
2001,83
2002,80
2003,104
2004,95
2005,160
2006,127
2007,132
2008,102
2009,106
2010,127
2011,94.3
2012,89
2016,127
2017,132.6
2018,144.9
2019,61.9
2020,40.1
