UF,RS
Cidade,SAO FRANCISCO DE PAULA
Nome Posto,CAPELA SAO JOSE DOS AUSENTES
Latitude,-29.094166666666666
Longitude,-50.6275
Codigo,2850002
Qtd. Anos,57
Ano,Maxima
1961,47.8
1962,25
1963,50
1964,25
1965,25
1966,25
1967,81.2
1968,25
1969,69.4
1970,45.4
1971,74.6
1972,110.2
1973,71.4
1974,70.6
1975,65
1976,73.3
1977,74.2
1978,45.2
1979,58.3
1980,56
1981,53.4
1982,62.3
1983,109.8
1984,58.2
1985,56.2
1986,48.2
1987,58.8
1988,95.2
1989,80.2
1990,70.4
1991,75.6
1992,92.4
1993,75.4
1994,70.8
1995,48.1
1996,42.5
1997,109.2
1998,68.2
1999,78.4
2000,85
2001,117.2
2002,80.9
2003,133.8
2004,70.8
2005,68.4
2006,82.8
2007,104.2
2008,80.6
2009,80.4
2010,67.9
2011,94.8
2012,80.3
2016,110.4
2017,107
2018,110.5
2019,106.5
2020,18.4
