UF,RS
Cidade,CONDOR
Nome Posto,CONDOR
Latitude,-28.225555555555555
Longitude,-53.47027777777778
Codigo,2853023
Qtd. Anos,45
Ano,Maxima
1976,99.8
1977,120.4
1978,100.4
1979,88.4
1980,124.2
1981,66.6
1982,155.2
1983,98.2
1984,93.4
1985,89.8
1986,107.3
1987,132.4
1988,109.8
1989,188.5
1990,124.5
1991,139.3
1992,130.6
1993,71.7
1994,82.7
1995,132.9
1996,107.9
1997,146.4
1998,88.9
1999,46.5
2000,108.6
2001,90
2002,103.8
2003,156.8
2004,57
2005,108
2006,95.4
2007,120.5
2008,91.3
2009,71.7
2010,147.2
2011,176.2
2012,87.7
2013,78.6
2014,112.5
2015,145.7
2016,118
2017,135.5
2018,97.6
2019,112
2020,62.1
