UF,RS
Cidade,ENCRUZILHADA DO SUL
Nome Posto,ENCRUZILHADA DO SUL
Latitude,-30.53611111111111
Longitude,-52.516666666666666
Codigo,3052005
Qtd. Anos,74
Ano,Maxima
1913,59
1914,76
1915,67.1
1916,67.4
1917,71.3
1918,69.3
1919,78.7
1920,56.6
1921,60.7
1922,99.8
1923,88.7
1924,75.3
1925,56.1
1926,93.6
1927,76.7
1928,92.7
1929,68.7
1930,92.6
1931,98.5
1932,151.1
1933,87
1934,115.5
1935,88.1
1936,147.6
1937,96.3
1938,97.8
1939,97.4
1940,115.3
1941,147.4
1942,126.9
1943,100.5
1945,22.1
1946,70.8
1947,62.3
1948,54.3
1949,67.2
1950,62
1951,142
1952,69.9
1953,74.6
1954,77.6
1955,96
1956,143
1957,88.7
1958,76.1
1959,127.1
1960,90.7
1961,66.8
1962,53.7
1963,64.3
1964,50.5
1965,55.8
1966,79.8
1967,66.8
1968,77.2
1969,88.8
1970,75
1975,119
1976,76.5
1977,103.5
1978,54.3
1981,61.5
1982,92.7
1983,137.7
1984,134.2
1985,95.1
1991,46
1992,107
1993,118.6
1994,77.4
1995,89.6
1996,75.1
1997,81
1998,75.3
