UF,RS
Cidade,PEDRAS ALTAS
Nome Posto,PEDRAS ALTAS
Latitude,-31.733333333333334
Longitude,-53.588055555555556
Codigo,3153007
Qtd. Anos,55
Ano,Maxima
1966,92
1967,56
1968,65.4
1969,120
1970,89
1971,69
1972,75.4
1973,203.6
1974,148
1975,85.4
1976,56.7
1977,79.2
1978,87.6
1979,105.2
1980,94
1981,88.2
1982,80.6
1983,172.4
1984,72.2
1985,83
1986,89.2
1987,90.2
1988,108.2
1989,74.6
1990,145.2
1991,77
1992,163.8
1993,85.2
1994,92
1995,61.4
1996,64.4
1997,136.2
1998,89.3
1999,61
2000,61.2
2001,87
2002,119.9
2003,57.2
2004,99.2
2005,175
2006,88.1
2007,90.2
2008,68.6
2009,173.4
2010,44
2011,69
2012,61
2013,95
2014,163
2015,94
2016,102.5
2017,111.5
2018,98
2019,120
2020,35
