UF,RS
Cidade,PALMARES DO SUL
Nome Posto,PALMARES DO SUL
Latitude,-30.25138888888889
Longitude,-50.505833333333335
Codigo,3050002
Qtd. Anos,47
Ano,Maxima
1974,100
1975,53
1976,96
1977,70
1978,42.1
1979,64.4
1980,103.9
1981,42.8
1982,94
1983,66.6
1984,72
1985,42
1986,65.4
1987,103
1988,88.6
1989,77
1990,105.1
1991,53
1992,92
1993,57.1
1994,109.5
1995,73
1996,66.5
1997,76.5
1998,62
1999,88.3
2000,56.5
2001,53.5
2002,90
2003,72.7
2004,80
2005,70
2006,67
2007,76
2008,91.6
2009,94.6
2010,78.5
2011,69.2
2012,126.1
2013,128.7
2014,75.2
2015,123.3
2016,88.9
2017,109
2018,78.8
2019,112.7
2020,42.3
