UF,RS
Cidade,ROLANTE
Nome Posto,ROLANTE
Latitude,-29.65083333333333
Longitude,-50.57277777777778
Codigo,2950028
Qtd. Anos,56
Ano,Maxima
1961,86.6
1962,52
1963,56.4
1964,61.6
1965,117
1966,89
1967,86.3
1968,97.1
1969,40.6
1970,83.8
1971,78.4
1972,91.2
1973,72.4
1974,69.4
1975,59.4
1976,79.8
1977,70
1978,48.4
1979,64.6
1980,95.2
1981,52.6
1982,165.4
1983,73.4
1984,78.2
1985,67.4
1986,83.4
1987,78
1988,70.6
1989,62.8
1990,81
1991,58.6
1992,103.4
1993,130.4
1994,75.4
1995,55.6
1996,55.4
1997,81.8
1998,63.8
1999,81.8
2000,65.6
2001,89.2
2002,57
2003,104.8
2004,56
2005,54.2
2006,57.2
2007,69.4
2008,97
2009,75.4
2010,65.8
2011,85.6
2016,109
2017,99.5
2018,55.1
2019,68.2
2020,25
