UF,RS
Cidade,PELOTAS
Nome Posto,PONTE CORDEIRO DE FARIAS
Latitude,-31.573888888888888
Longitude,-52.463055555555556
Codigo,3152016
Qtd. Anos,57
Ano,Maxima
1964,111
1965,101
1966,83.8
1967,55
1968,68.4
1969,72.2
1970,76.2
1971,80.6
1972,69.3
1973,97.2
1974,103.9
1975,110.2
1976,83.6
1977,120.5
1978,84.1
1979,77.5
1980,147.6
1981,53.2
1982,60
1983,186.1
1984,120
1985,75
1986,118
1987,85
1988,88.2
1989,93.4
1990,153
1991,114.6
1992,84.2
1993,120.2
1994,120
1995,130.6
1996,196.7
1997,151.1
1998,123.1
1999,98.2
2000,146.7
2001,101.8
2002,105.1
2003,128.5
2004,344.5
2005,50.5
2006,110
2007,99.5
2008,78.9
2009,535.8
2010,78.5
2011,66.2
2012,113.2
2013,86.2
2014,76.5
2015,71.5
2016,67.2
2017,117
2018,88.1
2019,68.2
2020,27.3
