UF,RS
Cidade,SAO SEPE
Nome Posto,PASSO DOS FREIRES
Latitude,-30.435277777777777
Longitude,-53.712500000000006
Codigo,3053017
Qtd. Anos,40
Ano,Maxima
1981,54
1982,107.3
1983,106.2
1984,132.2
1985,90.2
1986,138.4
1987,84.6
1988,46
1989,144
1990,122
1991,90
1992,90
1993,132.4
1994,65.2
1995,113.6
1996,98.3
1997,116
1998,137.8
1999,94.8
2000,93.4
2001,97.5
2002,127
2003,103.5
2004,65.8
2005,78.2
2006,86.1
2007,70.8
2008,65.5
2009,110.5
2010,77.6
2011,73.3
2012,84.7
2013,104.6
2014,85
2015,151.2
2016,134.5
2017,102.7
2018,86.4
2019,87.5
2020,72.3
