UF,RS
Cidade,CAMAQUA
Nome Posto,FAZENDA DA BOA VISTA
Latitude,-30.771944444444443
Longitude,-51.66027777777778
Codigo,3051017
Qtd. Anos,45
Ano,Maxima
1976,51.2
1977,108
1978,43.2
1979,175
1980,70.2
1981,133.2
1982,54.8
1983,91.4
1984,120.2
1985,85
1986,146.6
1987,100
1988,56.2
1989,46.8
1990,100
1991,85.4
1992,122
1993,100.2
1994,107.8
1995,135.8
1996,108.6
1997,80.8
1998,91.3
1999,96.8
2000,58.5
2001,82
2002,91.8
2003,99.4
2004,87
2005,94.2
2006,93.2
2007,100
2008,101.5
2009,65.9
2010,59.1
2011,68.3
2012,105.5
2013,70
2014,80.2
2015,156.9
2016,92.5
2017,77.5
2018,77.3
2019,100
2020,38.6
