UF,RS
Cidade,INDEPENDENCIA
Nome Posto,ESQUINA ARAUJO
Latitude,-27.968055555555555
Longitude,-54.11638888888889
Codigo,2754010
Qtd. Anos,45
Ano,Maxima
1976,76
1977,168.4
1978,64.6
1979,120
1980,150
1981,78
1982,103
1983,105.2
1984,141
1985,126
1986,85.6
1987,128.6
1988,78.8
1989,92.4
1990,82
1991,140.8
1992,73.2
1993,66.8
1994,125.4
1995,80.8
1996,82.4
1997,173
1998,87.4
1999,69.2
2000,154.6
2001,107.7
2002,84.2
2003,134
2004,61.8
2005,113.6
2006,77.4
2007,98.2
2008,104.7
2009,81.4
2010,96.3
2011,113.1
2012,98
2013,91.1
2014,147.2
2015,136
2016,119.4
2017,147.4
2018,108.3
2019,82.3
2020,41.8
