UF,RS
Cidade,PASSO FUNDO
Nome Posto,PASSO FUNDO
Latitude,-28.22583333333333
Longitude,-52.40333333333333
Codigo,2852020
Qtd. Anos,77
Ano,Maxima
1912,116
1913,62.7
1914,45.2
1915,39.6
1916,88.8
1917,72.2
1918,64.3
1919,65
1920,84.2
1921,73.8
1922,70
1923,90
1924,73
1925,66
1926,109
1927,150.3
1928,170.5
1929,88.8
1930,90
1931,84
1932,92.8
1933,63
1934,65
1935,64
1936,92
1937,60.7
1938,97.5
1939,85
1940,105
1941,97.5
1942,68
1943,73.7
1944,78.2
1945,75.4
1946,104.2
1947,80.7
1948,77.9
1949,61
1950,94.5
1951,121.9
1952,77.4
1953,131.4
1954,93.3
1955,83
1956,90.2
1957,98.4
1958,72.9
1959,108
1960,82
1961,79.2
1962,65.8
1963,86.8
1964,81
1965,112
1966,95.5
1967,91.8
1968,76.2
1969,82.6
1970,111.3
1971,111.3
1975,132.6
1976,83.2
1977,99.1
1978,82.6
1981,80.7
1982,103.7
1983,90.3
1984,118.2
1985,91.5
1991,78.8
1992,75.1
1993,96
1994,80.8
1995,54.4
1996,80.1
1997,84.6
1998,85.6
