UF,RS
Cidade,ENCRUZILHADA DO SUL
Nome Posto,SERRA DOS PEDROSAS
Latitude,-30.62527777777778
Longitude,-52.84
Codigo,3052012
Qtd. Anos,44
Ano,Maxima
1977,114.6
1978,79
1979,74
1980,55.2
1981,95.6
1982,98.6
1983,105.6
1984,106.8
1985,100.2
1986,118.4
1987,121
1988,61
1989,54.8
1990,158.8
1991,74.2
1992,120.8
1993,100.1
1994,69.2
1995,128.6
1996,68
1997,121
1998,108
1999,108
2000,93.9
2001,82.8
2002,130.4
2003,200
2004,151
2005,68.4
2006,92.1
2007,61.8
2008,88.4
2009,139
2010,66.1
2011,140.8
2012,134.7
2013,120
2014,83.5
2015,104.9
2016,95.3
2017,138.5
2018,79.3
2019,88.6
2020,118.8
