UF,RS
Cidade,URUGUAIANA
Nome Posto,JOAO ARREGUI
Latitude,-29.47111111111111
Longitude,-56.66777777777777
Codigo,2956008
Qtd. Anos,45
Ano,Maxima
1976,70
1977,110.6
1978,92
1979,136.4
1980,83.6
1981,61.2
1982,129.4
1983,146
1984,178.6
1985,145
1986,116.2
1987,176
1988,130.5
1989,108
1990,91
1991,109
1992,147
1993,119
1994,81.5
1995,85.2
1996,95
1997,157.2
1998,114
1999,115.9
2000,110
2001,100
2002,100.5
2003,90.3
2004,90.9
2005,70.9
2006,120
2007,90.2
2008,100
2009,115.1
2010,114.3
2011,94
2012,109.5
2013,92.3
2014,175
2015,170.8
2016,164
2017,146
2018,116.3
2019,254.4
2020,34
