UF,RS
Cidade,PASSO FUNDO
Nome Posto,PULADOR
Latitude,-28.293055555555558
Longitude,-52.555
Codigo,2852024
Qtd. Anos,56
Ano,Maxima
1962,41
1963,82.6
1964,65.8
1965,147.6
1966,96.4
1967,68.2
1968,65.7
1969,87.6
1970,118.7
1971,74.7
1972,106.2
1973,102.3
1974,85.2
1975,81.1
1976,77
1977,90.5
1978,63.4
1979,88.2
1980,90
1981,70.5
1982,114
1983,86.2
1984,149
1985,97.2
1986,112.1
1987,173.5
1988,88.9
1989,96
1990,134.6
1991,98.8
1992,129.7
1993,74
1994,70.2
1995,50.2
1996,91.5
1997,133
1998,154
1999,66.4
2000,79
2001,175
2002,108.6
2003,76.7
2004,60.8
2005,154.3
2006,82.1
2007,150
2008,91.8
2009,87.9
2010,117.6
2011,90.6
2012,101
2016,107.5
2017,120.6
2018,86.2
2019,78.4
2020,66.2
