UF,RS
Cidade,PEDRO OSORIO
Nome Posto,PEDRO OSORIO
Latitude,-31.879722222222224
Longitude,-52.81027777777778
Codigo,3152013
Qtd. Anos,44
Ano,Maxima
1977,108
1978,60
1979,85
1980,95
1981,58
1982,66
1983,175
1984,55
1985,53
1986,107
1987,140
1988,50
1989,80
1990,84
1991,115
1992,35
1993,105
1994,96
1995,103
1996,132
1997,105
1998,132.3
1999,68
2000,78.2
2001,77
2002,97
2003,104
2004,107.5
2005,89
2006,68
2007,115
2008,98
2009,190
2010,160
2011,51
2012,75.5
2013,93
2014,68.5
2015,85.5
2016,94
2017,78.6
2018,85
2019,75.9
2020,16.7
