UF,RS
Cidade,TORRES
Nome Posto,TORRES
Latitude,-29.34472222222222
Longitude,-49.72805555555556
Codigo,2949002
Qtd. Anos,56
Ano,Maxima
1939,66.7
1940,143
1941,103.5
1942,214.4
1943,51.8
1945,61.7
1946,57.7
1947,79.4
1948,58.8
1949,100.8
1950,73
1951,53.5
1952,98.9
1953,87.3
1954,93.7
1955,56.2
1956,124.1
1957,92.6
1958,107
1959,78
1960,75
1961,58
1962,62
1963,135.2
1964,43
1965,67
1966,83
1967,54.2
1968,52.9
1969,42
1970,67.6
1971,121.9
1972,110.6
1973,96.6
1974,75.9
1975,71.6
1976,118.3
1977,72.7
1978,41.6
1979,53.1
1980,181.8
1981,131
1982,153
1983,104.7
1984,62
1985,115
1988,138.1
1989,71.3
1991,46.8
1992,63.8
1993,64.2
1994,91.2
1995,119.4
1996,75
1997,62.8
1998,77
