UF,RS
Cidade,TERRA DE AREIA
Nome Posto,TERRA DE AREIA
Latitude,-29.59111111111111
Longitude,-50.03361111111111
Codigo,2950038
Qtd. Anos,47
Ano,Maxima
1974,70
1975,94
1976,77
1977,82
1978,82
1979,57
1980,140.3
1981,58
1982,125
1983,136
1984,95
1985,140.3
1986,85
1987,84
1988,80
1989,56
1990,84
1991,711.1
1992,70
1993,150
1994,100
1995,76.2
1996,98.6
1997,77.5
1998,78.2
1999,120.2
2000,116.4
2001,76.4
2002,103.6
2003,97.4
2004,102.8
2005,74.7
2006,107.8
2007,116.6
2008,141.8
2009,121.9
2010,70.2
2011,133.3
2012,85.5
2013,66.6
2014,129.9
2015,82.8
2016,69.9
2017,112.7
2018,61.6
2019,124.4
2020,71.1
