UF,RS
Cidade,CAMAQUA
Nome Posto,CAMAQUA
Latitude,-30.865833333333335
Longitude,-51.795833333333334
Codigo,3051016
Qtd. Anos,45
Ano,Maxima
1976,52
1977,78
1978,65.6
1979,84.4
1980,94
1981,79.8
1982,60.8
1983,105.8
1984,74.2
1985,58.2
1986,153.4
1987,111.8
1988,51.2
1989,49.6
1990,112
1991,26.8
1992,58.7
1993,70.2
1994,62
1995,283.4
1996,152.1
1997,86.8
1998,106.8
1999,63.5
2000,76.9
2001,87.6
2002,80.7
2003,78.1
2004,87.2
2005,97.5
2006,80.4
2007,74.5
2008,83.5
2009,115.8
2010,61.3
2011,62.9
2012,150.2
2013,100.5
2014,56.9
2015,118.3
2016,133
2017,95.1
2018,64.5
2019,88.9
2020,27.1
